# Frequency Average_Intensity Standard_Deviation
1.031824934485333415e+03 5.736290070858179277e-06 1.647499449644594735e-06
1.036272455754666908e+03 5.787157454173902088e-06 1.665247740389767842e-06
1.040719977024000173e+03 5.830523688865338042e-06 1.684735202631329598e-06
1.045167498293333438e+03 5.864850745091612443e-06 1.705615488832384029e-06
1.049615019562666930e+03 5.891223683958313662e-06 1.730680802908181137e-06
1.054062540832000195e+03 5.913248211714463036e-06 1.765803573266035936e-06
1.058510062101333460e+03 5.936498795826168630e-06 1.818496510543178172e-06
1.062957583370666725e+03 5.967615820067780895e-06 1.895292874797638508e-06
1.067405104639999990e+03 6.013185257594457537e-06 1.999011911379674420e-06
1.071852625909333256e+03 6.078628828127556055e-06 2.127426865299901434e-06
1.076300147178666748e+03 6.167255620895557523e-06 2.273892178834765529e-06
1.080747668448000013e+03 6.279704655320255363e-06 2.429235379287914631e-06
1.085195189717333506e+03 6.413835375609623591e-06 2.583722738062974818e-06
1.089642710986666771e+03 6.565146071236605931e-06 2.728536956582906497e-06
1.094090232256000036e+03 6.727634736912438693e-06 2.856825853004087765e-06
1.098537753525333528e+03 6.894915402750469086e-06 2.964639952422843546e-06
1.102985274794666793e+03 7.061402959723101117e-06 3.051680420219537449e-06
1.107432796064000058e+03 7.223270524398800220e-06 3.121522758743375452e-06
1.111880317333333323e+03 7.378987369671425461e-06 3.180899110347922022e-06
1.116327838602666588e+03 7.529330438116480309e-06 3.237991446870180084e-06
1.120775359872000308e+03 7.676857934479741050e-06 3.300368883970596502e-06
1.125222881141333573e+03 7.825009472556972541e-06 3.373430822241971019e-06
1.129670402410666838e+03 7.977083233683303901e-06 3.459866313730392054e-06
1.134117923680000104e+03 8.135373592525016421e-06 3.559885883626837558e-06
1.138565444949333369e+03 8.300714668496264161e-06 3.671446828463074340e-06
1.143012966218666634e+03 8.472583781673582120e-06 3.790084086393020760e-06
1.147460487488000126e+03 8.649767812534507741e-06 3.908889608783759121e-06
1.151908008757333391e+03 8.831424499987208310e-06 4.019532016630511317e-06
1.156355530026666656e+03 9.018310214406048651e-06 4.114898559464812448e-06
1.160803051296000149e+03 9.213845267021787989e-06 4.192730169243749150e-06
1.165250572565333414e+03 9.424821787826806967e-06 4.258905468034163310e-06
1.169698093834666906e+03 9.661551207136696392e-06 4.328853884733989804e-06
1.174145615104000171e+03 9.937459338922665183e-06 4.425982219176105390e-06
1.178593136373333436e+03 1.026819805412349162e-05 4.577788932837997338e-06
1.183040657642666702e+03 1.067042251847807311e-05 4.811235625695747509e-06
1.187488178911999967e+03 1.116041896174548426e-05 5.149391777815230581e-06
1.191935700181333232e+03 1.175277694957340877e-05 5.609080399386873777e-06
1.196383221450666952e+03 1.245917964161198577e-05 6.197838009179453565e-06
1.200830742720000217e+03 1.328748450599406459e-05 6.910260718707846538e-06
1.205278263989333482e+03 1.424111748076981382e-05 7.726554441266434288e-06
1.209725785258666747e+03 1.531906601494840433e-05 8.616643262002366853e-06
1.214173306528000012e+03 1.651639950360488609e-05 9.550298693215885919e-06
1.218620827797333504e+03 1.782556054063819746e-05 1.051013310325553701e-05
1.223068349066666769e+03 1.923826702673178874e-05 1.150304530974759695e-05
1.227515870336000035e+03 2.074789464070474925e-05 1.256385881939017123e-05
1.231963391605333300e+03 2.235169731380902373e-05 1.374737257535612316e-05
1.236410912874666792e+03 2.405267675034770603e-05 1.510883403731022729e-05
1.240858434144000057e+03 2.586005672839581819e-05 1.668043810109207548e-05
1.245305955413333550e+03 2.778840969132027278e-05 1.845566305344789311e-05
1.249753476682666815e+03 2.985520121386211193e-05 2.038897152428433243e-05
1.254200997952000080e+03 3.207757918882225346e-05 2.240979693249247896e-05
1.258648519221333345e+03 3.446890464038614317e-05 2.444315121243174929e-05
1.263096040490666610e+03 3.703689777801873851e-05 2.642960756472816636e-05
1.267543561760000102e+03 3.978396263774469914e-05 2.833841243069927144e-05
1.271991083029333595e+03 4.271056308468966370e-05 3.017109413607880092e-05
1.276438604298666860e+03 4.582135369524243355e-05 3.195420474392454550e-05
1.280886125568000125e+03 4.913251976161628435e-05 3.372590961043267038e-05
1.285333646837333390e+03 5.267864226875829814e-05 3.552445154897021284e-05
1.289781168106666883e+03 5.651616693100903343e-05 3.738722463257933547e-05
1.294228689376000148e+03 6.072163572007436422e-05 3.936324303216248520e-05
1.298676210645333413e+03 6.538376915781459549e-05 4.153060655123687344e-05
1.303123731914666678e+03 7.058954443046647318e-05 4.400131359337817446e-05
1.307571253183999943e+03 7.640742375950565067e-05 4.689893497306331035e-05
1.312018774453333435e+03 8.287059048721256353e-05 5.030645685523379475e-05
1.316466295722666928e+03 8.996603068359510858e-05 5.421354029475793958e-05
1.320913816992000193e+03 9.763152472449714372e-05 5.848971827560883329e-05
1.325361338261333458e+03 1.057648423888799775e-04 6.290866019302035711e-05
1.329808859530666723e+03 1.142427297716008914e-04 6.720737279398099665e-05
1.334256380799999988e+03 1.229473603470329613e-04 7.115620382372862774e-05
1.338703902069333481e+03 1.317956581041829732e-04 7.461373862441722949e-05
1.343151423338666746e+03 1.407620456439154374e-04 7.754482870263646236e-05
1.347598944608000238e+03 1.498919539869350537e-04 8.000654531828394313e-05
1.352046465877333503e+03 1.592979308616112113e-04 8.210854207184275610e-05
1.356493987146666768e+03 1.691416502073529780e-04 8.398494459991589253e-05
1.360941508416000033e+03 1.796016095108621008e-04 8.580401669981100200e-05
1.365389029685333526e+03 1.908339981589095920e-04 8.782754816087755408e-05
1.369836550954666791e+03 2.029366659409376444e-04 9.049719185807341207e-05
1.374284072224000056e+03 2.159211202211938348e-04 9.446268484089832362e-05
1.378731593493333321e+03 2.297023799008055607e-04 1.004787016159639586e-04
1.383179114762666586e+03 2.441069154820681478e-04 1.091476168292713936e-04
1.387626636032000306e+03 2.588983701045399787e-04 1.206384237272907690e-04
1.392074157301333571e+03 2.738155723860081722e-04 1.345671165228581900e-04
1.396521678570666836e+03 2.886150974675804346e-04 1.500971784611537015e-04
1.400969199840000101e+03 3.031058437369113035e-04 1.661638947087463688e-04
1.405416721109333366e+03 3.171733810849579902e-04 1.817206912502421202e-04
1.409864242378666631e+03 3.307858775062315218e-04 1.959513476294618729e-04
1.414311763648000124e+03 3.439804694831275823e-04 2.084327151299150964e-04
1.418759284917333389e+03 3.568365453873608394e-04 2.192226084144531051e-04
1.423206806186666881e+03 3.694396111367555116e-04 2.288369476854301601e-04
1.427654327456000146e+03 3.818483560540112060e-04 2.380844738206552434e-04
1.432101848725333411e+03 3.940674129286428915e-04 2.477759313327432310e-04
1.436549369994666904e+03 4.060374805298633391e-04 2.584101298855333057e-04
1.440996891264000169e+03 4.176451627385585402e-04 2.699785835284226128e-04
1.445444412533333434e+03 4.287487300851163950e-04 2.819893458884474005e-04
1.449891933802666699e+03 4.392199237796833608e-04 2.936824621437694586e-04
1.454339455071999964e+03 4.489953584267805447e-04 3.043116908482613905e-04
1.458786976341333457e+03 4.581218961839014217e-04 3.133711985034616119e-04
1.463234497610666949e+03 4.667942427473225448e-04 3.207036815684208243e-04
1.467682018880000214e+03 4.753720520076990387e-04 3.264857111678860302e-04
1.472129540149333479e+03 4.843669157240305836e-04 3.311196073605642931e-04
1.476577061418666744e+03 4.943995876228968146e-04 3.350849020896040577e-04
1.481024582688000010e+03 5.061252068327026137e-04 3.388126215699383361e-04
1.485472103957333502e+03 5.201293198039602574e-04 3.426553453366735689e-04
1.489919625226666767e+03 5.368123775069127837e-04 3.469928814603892857e-04
1.494367146496000032e+03 5.562678023136189082e-04 3.524341580952782362e-04
1.498814667765333297e+03 5.781821150518794833e-04 3.599730946954848290e-04
1.503262189034666790e+03 6.017703059584466815e-04 3.708869946638565550e-04
1.507709710304000282e+03 6.257640970564872038e-04 3.862557952653118362e-04
1.512157231573333547e+03 6.484676497187240362e-04 4.062466103166983565e-04
1.516604752842666812e+03 6.678793126718495865e-04 4.295812276910179555e-04
1.521052274112000077e+03 6.818722374404827822e-04 4.535633552949383074e-04
1.525499795381333342e+03 6.884179233171669509e-04 4.746573417280867653e-04
1.529947316650666608e+03 6.858229767470615896e-04 4.893097123169672926e-04
1.534394837920000100e+03 6.729452548395410596e-04 4.946865399433861580e-04
1.538842359189333592e+03 6.493665663254271627e-04 4.891666332173540653e-04
1.543289880458666858e+03 6.154835953114471672e-04 4.725257691800951662e-04
1.547737401728000123e+03 5.725131882455840229e-04 4.458574073637468715e-04
1.552184922997333388e+03 5.224024153919269546e-04 4.112917644318981963e-04
1.556632444266666880e+03 4.676590569857145305e-04 3.716040138454423589e-04
1.561079965536000145e+03 4.111203290306619904e-04 3.298100462546936940e-04
1.565527486805333410e+03 3.556957749991551850e-04 2.888353234248397885e-04
1.569975008074666675e+03 3.041114918436165371e-04 2.512877851989031791e-04
1.574422529343999940e+03 2.586895694289990597e-04 2.193130350178219270e-04
1.578870050613333660e+03 2.211843202467638696e-04 1.944617773567638866e-04
1.583317571882666925e+03 1.926862141066986432e-04 1.775182158594220154e-04
1.587765093152000190e+03 1.736025475202614653e-04 1.683867545028196481e-04
1.592212614421333456e+03 1.637014004774909421e-04 1.662344068836314639e-04
1.596660135690666721e+03 1.622124213470234452e-04 1.699134850599341652e-04
1.601107656959999986e+03 1.679627529021832685e-04 1.783558536174154367e-04
1.605555178229333478e+03 1.795326223238036430e-04 1.906783830308281713e-04
1.610002699498666743e+03 1.954113721786914469e-04 2.060603522548450192e-04
1.614450220768000236e+03 2.141394184506793439e-04 2.236052864766001303e-04
1.618897742037333501e+03 2.344228635962889080e-04 2.422991597259142090e-04
1.623345263306666766e+03 2.552122158527997137e-04 2.610604800104777338e-04
