# Frequency Average_Intensity Standard_Deviation
1.727120759591111437e+03 3.769225763894857488e-04 2.662151027253229158e-04
1.734533295040000212e+03 3.616799318097675339e-04 2.425536552492245964e-04
1.741945830488888987e+03 3.494070770546409176e-04 2.309266001508546628e-04
1.749358365937777990e+03 3.399092930550175369e-04 2.266312895350926844e-04
1.756770901386666765e+03 3.317608243484236239e-04 2.243096938865538027e-04
1.764183436835555540e+03 3.230702059263216306e-04 2.203320381437304471e-04
1.771595972284444770e+03 3.122279480086590864e-04 2.130527802685705453e-04
1.779008507733333545e+03 2.983777867805425784e-04 2.020380814140473576e-04
1.786421043182222320e+03 2.815397879900372914e-04 1.874706781589698091e-04
1.793833578631111095e+03 2.624550045247470934e-04 1.701694588267159771e-04
1.801246114080000098e+03 2.422834515671769186e-04 1.518551549314505920e-04
1.808658649528889100e+03 2.222665476698276364e-04 1.349377643631370876e-04
1.816071184977777875e+03 2.034227629655555123e-04 1.216257679115392089e-04
1.823483720426666878e+03 1.863350533666666739e-04 1.130908628806758366e-04
1.830896255875555653e+03 1.710828949485693803e-04 1.092164374510569381e-04
1.838308791324444428e+03 1.573503586494932719e-04 1.083875996487224591e-04
1.845721326773333658e+03 1.446753240146223766e-04 1.074799366862564369e-04
1.853133862222222433e+03 1.327284111682504688e-04 1.031107379495382485e-04
1.860546397671111208e+03 1.214802307732940382e-04 9.357638064568786181e-05
1.867958933120000211e+03 1.111682252526496526e-04 7.989067044300734066e-05
1.875371468568888986e+03 1.020936594501374681e-04 6.529713019630821089e-05
1.882784004017777988e+03 9.437347392553770207e-05 5.352127312769714026e-05
1.890196539466666763e+03 8.780243380282278941e-05 4.649620192358823890e-05
1.897609074915555766e+03 8.190291736995640990e-05 4.344021572358450775e-05
1.905021610364444541e+03 7.612674907915076825e-05 4.250425894203924994e-05
1.912434145813333316e+03 7.009261190801384812e-05 4.219998818907412156e-05
1.919846681262222546e+03 6.373077616160291296e-05 4.125426530281808011e-05
1.927259216711111321e+03 5.727770177090541886e-05 3.866961729961844338e-05
1.934671752160000096e+03 5.114118671870205430e-05 3.429036356131241520e-05
1.942084287608889099e+03 4.571599865032834455e-05 2.901607375184584548e-05
1.949496823057777874e+03 4.123085835004802437e-05 2.434151188514057404e-05
1.956909358506666877e+03 3.767947028007478667e-05 2.140507857394167399e-05
1.964321893955555879e+03 3.484492596472160648e-05 2.014345675911441116e-05
1.971734429404444654e+03 3.239598495207458970e-05 1.957050847534750078e-05
1.979146964853333429e+03 3.001508890838723380e-05 1.877933283316455385e-05
1.986559500302222204e+03 2.751148643164071981e-05 1.739471385386751065e-05
1.993972035751111434e+03 2.487802469227969607e-05 1.550725758765740360e-05
2.001384571200000210e+03 2.227152624200427522e-05 1.346858939418255377e-05
2.008797106648888985e+03 1.992760067497664436e-05 1.166658372215988198e-05
2.016209642097777987e+03 1.805037784510731908e-05 1.036888449897103543e-05
2.023622177546666762e+03 1.672707897552946248e-05 9.676154996812566763e-06
2.031034712995555765e+03 1.590137868756017020e-05 9.508532759877722255e-06
2.038447248444444767e+03 1.540758766154017801e-05 9.613454503013008914e-06
2.045859783893333542e+03 1.503966512330160724e-05 9.669422189960292301e-06
2.053272319342222545e+03 1.462016638548255101e-05 9.425971747889993766e-06
2.060684854791111320e+03 1.404465165664329055e-05 8.781906819854046382e-06
2.068097390240000095e+03 1.329544809022435824e-05 7.795565278333528534e-06
2.075509925688889325e+03 1.243003169163328193e-05 6.645344908387023319e-06
2.082922461137778100e+03 1.155192536890243568e-05 5.550493683393516796e-06
2.090334996586666875e+03 1.077128077078993109e-05 4.682607931069913185e-06
2.097747532035556105e+03 1.016366020209999906e-05 4.119668351319759798e-06
2.105160067484444880e+03 9.741137053361012481e-06 3.856519815171119115e-06
2.112572602933333656e+03 9.449556214594307860e-06 3.819633083717810949e-06
2.119985138382222431e+03 9.196347507502347296e-06 3.880295769379737724e-06
2.127397673831111206e+03 8.896916061492357410e-06 3.906284930044190926e-06
2.134810209279999981e+03 8.515595527008634462e-06 3.822029336430482161e-06
2.142222744728888756e+03 8.079178831702752374e-06 3.638574052183595329e-06
2.149635280177777986e+03 7.657801110747532600e-06 3.454429180064793666e-06
2.157047815626666761e+03 7.326648767209302534e-06 3.422209038101247960e-06
2.164460351075555991e+03 7.131894923422563314e-06 3.670903353348617654e-06
2.171872886524444766e+03 7.078123679547049525e-06 4.223079452132333504e-06
2.179285421973333541e+03 7.139156255064380862e-06 4.972919910897277964e-06
2.186697957422222316e+03 7.280567550201014085e-06 5.720135366812263355e-06
2.194110492871111546e+03 7.478445737374948076e-06 6.242641945048865505e-06
2.201523028320000321e+03 7.724827367727375135e-06 6.399798647351608434e-06
2.208935563768889097e+03 8.019720769785211307e-06 6.220023144869480006e-06
2.216348099217777872e+03 8.356075483620978943e-06 5.908647237453015873e-06
2.223760634666666647e+03 8.706235951171689596e-06 5.724710407971519436e-06
2.231173170115555422e+03 9.016615949978682551e-06 5.771988165670240355e-06
2.238585705564444197e+03 9.214799613830078345e-06 5.931471914865817870e-06
2.245998241013333882e+03 9.228386861001028411e-06 6.019557467678115004e-06
2.253410776462222657e+03 9.009937994731071054e-06 5.935179591002593321e-06
2.260823311911111432e+03 8.557257800366074534e-06 5.679629361807127427e-06
2.268235847360000207e+03 7.918549898256088584e-06 5.317975199917365566e-06
2.275648382808888982e+03 7.178173710329656619e-06 4.946343562911139601e-06
2.283060918257777757e+03 6.429621489613211778e-06 4.670591860505231780e-06
2.290473453706666987e+03 5.749540071973656702e-06 4.555118302595244274e-06
2.297885989155555762e+03 5.185887719782223705e-06 4.551419827015313703e-06
2.305298524604444538e+03 4.763367564610726499e-06 4.515483516161441232e-06
