# Frequency Average_Intensity Standard_Deviation
6.671281903999999940e+02 3.252331207870126699e-05 1.740774178826843551e-05
6.745407258488889966e+02 2.988554036810282588e-05 1.522875763127543218e-05
6.819532612977778854e+02 2.754300249937039421e-05 1.333481399273547420e-05
6.893657967466666605e+02 2.546285529858220728e-05 1.180657309030152104e-05
6.967783321955556630e+02 2.361630966145269480e-05 1.058181916004886205e-05
7.041908676444444382e+02 2.198468882363787720e-05 9.588742549138147965e-06
7.116034030933334407e+02 2.055428937363315900e-05 8.880058283456223256e-06
7.190159385422223295e+02 1.930606427057972448e-05 8.457398860985335860e-06
7.264284739911111046e+02 1.820985995128178585e-05 8.200436029561529921e-06
7.338410094400001071e+02 1.722859388858741857e-05 8.008593975881128275e-06
7.412535448888889960e+02 1.632926721661407280e-05 7.787970174843512921e-06
7.486660803377777711e+02 1.549240955504550699e-05 7.483596888582161037e-06
7.560786157866667736e+02 1.471299099051242288e-05 7.095136254122297643e-06
7.634911512355555487e+02 1.399262617065904451e-05 6.651929500746706627e-06
7.709036866844445512e+02 1.332885212897258649e-05 6.204052653884970401e-06
7.783162221333334401e+02 1.270874383439966440e-05 5.798832810973822425e-06
7.857287575822222152e+02 1.211075752558519572e-05 5.467345531900063390e-06
7.931412930311112177e+02 1.151321865073837031e-05 5.214914044144926015e-06
8.005538284799999929e+02 1.090464085024962603e-05 4.997484404921278536e-06
8.079663639288889954e+02 1.029025624875975136e-05 4.749182501816044392e-06
8.153788993777778842e+02 9.691715801268978628e-06 4.448449259741956510e-06
8.227914348266666593e+02 9.139857363668640148e-06 4.133787259567440682e-06
8.302039702755556618e+02 8.663578610882166669e-06 3.871055032424796784e-06
8.376165057244445507e+02 8.279472480123442564e-06 3.691463223041648862e-06
8.450290411733334395e+02 7.986788006373651887e-06 3.548086582406913561e-06
8.524415766222223283e+02 7.769524977660296249e-06 3.402678871588943445e-06
8.598541120711111034e+02 7.603930186621484348e-06 3.252305712897669153e-06
8.672666475200001059e+02 7.466816642419523815e-06 3.115573343090310913e-06
8.746791829688889948e+02 7.340257870297890166e-06 3.010701827668701373e-06
8.820917184177777699e+02 7.211251799756364057e-06 2.921775244394716620e-06
8.895042538666667724e+02 7.069023177780139476e-06 2.813048054534968263e-06
8.969167893155555475e+02 6.903987292608918804e-06 2.671777789090290946e-06
9.043293247644445501e+02 6.710455630148525262e-06 2.505863741009881154e-06
9.117418602133334389e+02 6.491116309828783799e-06 2.338967748099706653e-06
9.191543956622222140e+02 6.258886523305948132e-06 2.203225201097167145e-06
9.265669311111112165e+02 6.033112425731300677e-06 2.124641704380398300e-06
9.339794665600001053e+02 5.831412999461221315e-06 2.097552695901114804e-06
9.413920020088889942e+02 5.662120527908113334e-06 2.096607883137319580e-06
9.488045374577778830e+02 5.522295947222082151e-06 2.106468113651413149e-06
9.562170729066666581e+02 5.402362476525555970e-06 2.107108889885045317e-06
9.636296083555556606e+02 5.293707588532414231e-06 2.076150127249457718e-06
9.710421438044445495e+02 5.193881736146235337e-06 2.002412655914884036e-06
9.784546792533334383e+02 5.106285071957908164e-06 1.892334880784657837e-06
9.858672147022223271e+02 5.035677299362353754e-06 1.769394065568639812e-06
9.932797501511111022e+02 4.983562584178095276e-06 1.658957016641651865e-06
1.000692285600000105e+03 4.946911154904011618e-06 1.569513285185039623e-06
1.008104821048888994e+03 4.920487086227365349e-06 1.506081313767859661e-06
1.015517356497777882e+03 4.900398245071589537e-06 1.467172693015056490e-06
1.022929891946666771e+03 4.886262251942270460e-06 1.450643601271335793e-06
1.030342427395555660e+03 4.881142634810792660e-06 1.452003310521794710e-06
