# Frequency Average_Intensity Standard_Deviation
2.401661485440000433e+03 5.111656734141988641e-06 9.246923851662411475e-07
2.410556527978666963e+03 4.962827377829301840e-06 8.584329368314218662e-07
2.419451570517333494e+03 4.819008494192257467e-06 7.963568897740595861e-07
2.428346613056000024e+03 4.680221513371658681e-06 7.379566830660388807e-07
2.437241655594667009e+03 4.546252980829302112e-06 6.851391878328544313e-07
2.446136698133333539e+03 4.416835507175043545e-06 6.410429162902954672e-07
2.455031740672000069e+03 4.291822210040790595e-06 6.078452052634408027e-07
2.463926783210666599e+03 4.171337654267762138e-06 5.847398034728008280e-07
2.472821825749333584e+03 4.055847313064086710e-06 5.677274724473803600e-07
2.481716868288000114e+03 3.946145054106267443e-06 5.514553825571630986e-07
2.490611910826667099e+03 3.843247657318239044e-06 5.316904255295931872e-07
2.499506953365333629e+03 3.748207362139247330e-06 5.068423459704718402e-07
2.508401995904000159e+03 3.661913925174759463e-06 4.781458122114676832e-07
2.517297038442666690e+03 3.584906178454894323e-06 4.488401168090419694e-07
2.526192080981333220e+03 3.517258568781389407e-06 4.229246959874598552e-07
2.535087123520000205e+03 3.458548673025086430e-06 4.038844878353440630e-07
2.543982166058667190e+03 3.407933680295476650e-06 3.936924033110925519e-07
2.552877208597333720e+03 3.364283355579859268e-06 3.923552406879993802e-07
2.561772251136000250e+03 3.326345991995186520e-06 3.980424432731302247e-07
2.570667293674666780e+03 3.292917363294254843e-06 4.076947392243696095e-07
2.579562336213333765e+03 3.262970188784571674e-06 4.177997697825920089e-07
2.588457378752000295e+03 3.235731616720416043e-06 4.251734512188301279e-07
2.597352421290666825e+03 3.210731719030959895e-06 4.276143577363991464e-07
2.606247463829333356e+03 3.187822996496098074e-06 4.244025112659111359e-07
2.615142506367999886e+03 3.167187386491676494e-06 4.165390573706427350e-07
2.624037548906666871e+03 3.149335770003376291e-06 4.066011122854194629e-07
2.632932591445333856e+03 3.135096976289610197e-06 3.980514567136543567e-07
2.641827633984000386e+03 3.125553794528614711e-06 3.940316875427730683e-07
2.650722676522666916e+03 3.121925994976186603e-06 3.960823194500865523e-07
2.659617719061333446e+03 3.125369367160647548e-06 4.035883106685925795e-07
2.668512761599999976e+03 3.136731270099324041e-06 4.143733976760408296e-07
2.677407804138666961e+03 3.156263694894138541e-06 4.258415982770840978e-07
2.686302846677333491e+03 3.183421310137126476e-06 4.358724743902679150e-07
2.695197889216000476e+03 3.216727494759455717e-06 4.430973553802716609e-07
2.704092931754667006e+03 3.253849322480234712e-06 4.467529948577666100e-07
2.712987974293333536e+03 3.291836007718904645e-06 4.465692410727901014e-07
2.721883016832000067e+03 3.327551303604611459e-06 4.428046987359589923e-07
2.730778059370667052e+03 3.358173383667327281e-06 4.365639464630471904e-07
2.739673101909333582e+03 3.381719215028662841e-06 4.299997488218529323e-07
2.748568144448000112e+03 3.397436963195792733e-06 4.260436354436618546e-07
2.757463186986666642e+03 3.406020439379678501e-06 4.274204096895187002e-07
2.766358229525333172e+03 3.409560611377302236e-06 4.352296813867654291e-07
2.775253272064000612e+03 3.411260172312211477e-06 4.480886960974776820e-07
2.784148314602667142e+03 3.414973150919094412e-06 4.625567856559896076e-07
2.793043357141333672e+03 3.424646546866938508e-06 4.746012332921151944e-07
2.801938399680000202e+03 3.443785959932614993e-06 4.811442977159278136e-07
2.810833442218666733e+03 3.475032193858135402e-06 4.810993816026714772e-07
2.819728484757333263e+03 3.519921318663910353e-06 4.757293610561118535e-07
2.828623527296000248e+03 3.578839188086184970e-06 4.683686497598237327e-07
2.837518569834666778e+03 3.651159915818154042e-06 4.635132864337313812e-07
2.846413612373333763e+03 3.735520319407948617e-06 4.653326703419318443e-07
2.855308654912000293e+03 3.830151849461047987e-06 4.760369951283446272e-07
2.864203697450666823e+03 3.933224010201991469e-06 4.949338811532491135e-07
2.873098739989333808e+03 4.043155279576202397e-06 5.187692588710512953e-07
2.881993782528000338e+03 4.158820045136344006e-06 5.430804790435742934e-07
2.890888825066666868e+03 4.279685547665995811e-06 5.637988196590173187e-07
2.899783867605333398e+03 4.405823350994032574e-06 5.787590396554876004e-07
2.908678910143999929e+03 4.537813340524332552e-06 5.888903987970097115e-07
2.917573952682666913e+03 4.676546756137551185e-06 5.987614602760934051e-07
2.926468995221333898e+03 4.822925266504754538e-06 6.156969592185078927e-07
2.935364037760000429e+03 4.977521072314973843e-06 6.469174419983827598e-07
2.944259080298666959e+03 5.140218030253380490e-06 6.957393913260001341e-07
2.953154122837333489e+03 5.309949263313809036e-06 7.597068285896713030e-07
2.962049165376000019e+03 5.484594728673571939e-06 8.319463462834380972e-07
2.970944207914667004e+03 5.661098218537429690e-06 9.039957765088526858e-07
2.979839250453333534e+03 5.835865766884050840e-06 9.679057464888946754e-07
2.988734292992000064e+03 6.005382974030485133e-06 1.017184413628367449e-06
2.997629335530666594e+03 6.166976770676202290e-06 1.047198174475889633e-06
3.006524378069333579e+03 6.319548672730563130e-06 1.055639024682902951e-06
3.015419420608000564e+03 6.464104087085312075e-06 1.043285286746351243e-06
3.024314463146667094e+03 6.603913224036945143e-06 1.014701545460386117e-06
3.033209505685333625e+03 6.744193157647425615e-06 9.782579890253463861e-07
3.042104548224000155e+03 6.891311541315813511e-06 9.447883508641518290e-07
3.050999590762666685e+03 7.051666435931524561e-06 9.248206815874276995e-07
3.059894633301333215e+03 7.230404702721344014e-06 9.254366864568922745e-07
3.068789675840000200e+03 7.430322856358893514e-06 9.488016020354613655e-07
3.077684718378667185e+03 7.651173305494294281e-06 9.930556533516228917e-07
3.086579760917333715e+03 7.889615404958704288e-06 1.053942735644222444e-06
3.095474803456000245e+03 8.139813809505013736e-06 1.125388187575764593e-06
3.104369845994666775e+03 8.394632141182848658e-06 1.199461282067906698e-06
3.113264888533333760e+03 8.647145545533696100e-06 1.267280045508610099e-06
3.122159931072000290e+03 8.892179224615311188e-06 1.321487841711531194e-06
3.131054973610666821e+03 9.127491557376108078e-06 1.359258958305298033e-06
3.139950016149333351e+03 9.354450859534543550e-06 1.384394095638036993e-06
3.148845058687999881e+03 9.577967357227370421e-06 1.406771461619312106e-06
3.157740101226667321e+03 9.805793352442236554e-06 1.438421637904969042e-06
3.166635143765333851e+03 1.004752598992373272e-05 1.487768296020751619e-06
3.175530186304000381e+03 1.031324265300907112e-05 1.555607618185904548e-06
3.184425228842666911e+03 1.061254577584054654e-05 1.636438937287807836e-06
3.193320271381333441e+03 1.095367814848051817e-05 1.723907775704089849e-06
3.202215313919999971e+03 1.134327506890592553e-05 1.816397083634976547e-06
3.211110356458666956e+03 1.178638641482930157e-05 1.919525769334479958e-06
3.220005398997333486e+03 1.228677662570177786e-05 2.044321414097576950e-06
3.228900441536000471e+03 1.284716716776865912e-05 2.202339989856720648e-06
3.237795484074667002e+03 1.346948245866068491e-05 2.399780590226143380e-06
3.246690526613333532e+03 1.415497677302981336e-05 2.634401881384846110e-06
3.255585569152000517e+03 1.490416166304878393e-05 2.896557220051866546e-06
3.264480611690667047e+03 1.571693729920279082e-05 3.173512356759115285e-06
