# Frequency Average_Intensity Standard_Deviation
3.958293929706667313e+02 4.926203466358181765e-04 2.254375154932154051e-04
4.002769142399999964e+02 4.609818493947169527e-04 2.028496025709528602e-04
4.047244355093333752e+02 4.313228120942673091e-04 1.820951777339816771e-04
4.091719567786666971e+02 4.043331783103301441e-04 1.639492172399373954e-04
4.136194780480000759e+02 3.804683459541867018e-04 1.488795388125551831e-04
4.180669993173333410e+02 3.598511484569246041e-04 1.368752263291913977e-04
4.225145205866667197e+02 3.422687894196898379e-04 1.273825722840485949e-04
4.269620418560000417e+02 3.272465034131709621e-04 1.194635485462143158e-04
4.314095631253333636e+02 3.141707261644698730e-04 1.121477473247063861e-04
4.358570843946666855e+02 3.024221355182860993e-04 1.047910085006405873e-04
4.403046056640000074e+02 2.914908556353391000e-04 9.728864153910160811e-05
4.447521269333333862e+02 2.810425728645568545e-04 9.008260310140518386e-05
4.491996482026667081e+02 2.709341925548069702e-04 8.396771706871387301e-05
4.536471694720000301e+02 2.611788850393193776e-04 7.972426231384506783e-05
4.580946907413333520e+02 2.518874385257090275e-04 7.768940693080786505e-05
4.625422120106667307e+02 2.431948465883307321e-04 7.752872967735958433e-05
4.669897332800000527e+02 2.352029113073837512e-04 7.840783988869438306e-05
4.714372545493333746e+02 2.279450883840079443e-04 7.939938525548637007e-05
4.758847758186666965e+02 2.213786791720707904e-04 7.980989520358016353e-05
4.803322970880000753e+02 2.154013968880499788e-04 7.930549001021441186e-05
4.847798183573333404e+02 2.098809660333180263e-04 7.788296442790358361e-05
4.892273396266667191e+02 2.046837606189765674e-04 7.575880782587717075e-05
4.936748608960000411e+02 1.996989479707401527e-04 7.322920557305056611e-05
4.981223821653333630e+02 1.948457554344743567e-04 7.053842097996163268e-05
5.025699034346666849e+02 1.900710671549379319e-04 6.779842731870059681e-05
5.070174247040000068e+02 1.853368805971614900e-04 6.498362549797337417e-05
5.114649459733333856e+02 1.806090841891942766e-04 6.199789092570430092e-05
5.159124672426667075e+02 1.758482572729504624e-04 5.876058767400914654e-05
5.203599885120000863e+02 1.710108608044857471e-04 5.527215970147102337e-05
5.248075097813334651e+02 1.660573656583565118e-04 5.162930739396211476e-05
5.292550310506667302e+02 1.609665278447007996e-04 4.800291341254399834e-05
5.337025523199999952e+02 1.557474722269363990e-04 4.459901368629399848e-05
5.381500735893333740e+02 1.504492641392676778e-04 4.163592200470941419e-05
5.425975948586667528e+02 1.451586992731866048e-04 3.932793018416139049e-05
5.470451161280000179e+02 1.399900651726931628e-04 3.785730315784232891e-05
5.514926373973333966e+02 1.350669239940240996e-04 3.730577129035194913e-05
5.559401586666666617e+02 1.304995799923465882e-04 3.757597051028373556e-05
5.603876799360001542e+02 1.263654889840417077e-04 3.837761227514360567e-05
5.648352012053334192e+02 1.226944217991397118e-04 3.930743410686274943e-05
5.692827224746666843e+02 1.194639176295545543e-04 3.997257726959324787e-05
5.737302437440000631e+02 1.166040367075088285e-04 4.008509345493915403e-05
5.781777650133333282e+02 1.140109622979024694e-04 3.950235800695617495e-05
5.826252862826667069e+02 1.115651179224493998e-04 3.821876742386386941e-05
5.870728075520000857e+02 1.091519380905983373e-04 3.633299283487441005e-05
5.915203288213333508e+02 1.066789260876044407e-04 3.400640393813891837e-05
5.959678500906666159e+02 1.040882478142950553e-04 3.143131430306515968e-05
6.004153713600001083e+02 1.013621086411397681e-04 2.881251050032205318e-05
6.048628926293333734e+02 9.852127324255918143e-05 2.635834508901056683e-05
6.093104138986667522e+02 9.561767920596823153e-05 2.426450423953886983e-05
6.137579351680000173e+02 9.272314616331017397e-05 2.267879182124697988e-05
6.182054564373333960e+02 8.991616250137414381e-05 2.165191655504268133e-05
6.226529777066667748e+02 8.726990289953970130e-05 2.111236245759235232e-05
6.271004989760000399e+02 8.484212749206261411e-05 2.089838479662767598e-05
6.315480202453333050e+02 8.266953549925475228e-05 2.083292784682774055e-05
6.359955415146667974e+02 8.076605291982579438e-05 2.079142506762436671e-05
6.404430627840000625e+02 7.912540478060813291e-05 2.073131094217626176e-05
6.448905840533334413e+02 7.772635030413753887e-05 2.068250661413291750e-05
6.493381053226667063e+02 7.653961005037488797e-05 2.071328380289161808e-05
6.537856265919999714e+02 7.553438273588390542e-05 2.088754236702075948e-05
6.582331478613334639e+02 7.468289014220484679e-05 2.122993828468971371e-05
6.626806691306667290e+02 7.396222925205491524e-05 2.171221599721950154e-05
6.671281903999999940e+02 7.335298100577709868e-05 2.226437189189676608e-05
6.715757116693333728e+02 7.283543652731027393e-05 2.280113344633111756e-05
6.760232329386667516e+02 7.238506246091712729e-05 2.324993509204573700e-05
6.804707542080000167e+02 7.196818644523521314e-05 2.356881768004618548e-05
6.849182754773333954e+02 7.154050537854063439e-05 2.374918529724676347e-05
6.893657967466666605e+02 7.104878693064811451e-05 2.380308491722799610e-05
6.938133180160001530e+02 7.043641495631052483e-05 2.374153901044556928e-05
6.982608392853334180e+02 6.965132737744668596e-05 2.355463202032116130e-05
7.027083605546666831e+02 6.865537558875962334e-05 2.320570516477180891e-05
7.071558818240000619e+02 6.743248269673966235e-05 2.264432046925278068e-05
7.116034030933334407e+02 6.599341842048424473e-05 2.183197743675140487e-05
7.160509243626667057e+02 6.437617957563000922e-05 2.076878049909761524e-05
7.204984456320000845e+02 6.264125543654000127e-05 1.950788374257472004e-05
7.249459669013333496e+02 6.086266883083731987e-05 1.815077451471817596e-05
7.293934881706667284e+02 5.911622439650909974e-05 1.682224659439562865e-05
7.338410094400001071e+02 5.746779687258928108e-05 1.563185220275422634e-05
7.382885307093333722e+02 5.596358133444161002e-05 1.463785561304267679e-05
7.427360519786667510e+02 5.462423733130930634e-05 1.383640921464716447e-05
7.471835732480000161e+02 5.344459865268596843e-05 1.318377181226773665e-05
7.516310945173333948e+02 5.239752723330455428e-05 1.263520868555363324e-05
7.560786157866667736e+02 5.144254191225148875e-05 1.217028477763806941e-05
7.605261370560000387e+02 5.053612888433087972e-05 1.178898111624457549e-05
7.649736583253333038e+02 4.964189197874616929e-05 1.148583779509707356e-05
7.694211795946667962e+02 4.873891111844841508e-05 1.122717773078280853e-05
7.738687008640000613e+02 4.782629689567751633e-05 1.095011227280915960e-05
7.783162221333334401e+02 4.692332063255172299e-05 1.058653708590297857e-05
7.827637434026667052e+02 4.606561039032806485e-05 1.009540805807219447e-05
7.872112646719999702e+02 4.529723275589924076e-05 9.487645231142048991e-06
7.916587859413334627e+02 4.466170351198526470e-05 8.834931416809848554e-06
7.961063072106667278e+02 4.419243770977477687e-05 8.257110038612908268e-06
8.005538284799999929e+02 4.390477138302136749e-05 7.881252475450652774e-06
8.050013497493333716e+02 4.379162701577935288e-05 7.777892608774443042e-06
8.094488710186667504e+02 4.382295295501880506e-05 7.917262742731687538e-06
8.138963922880001292e+02 4.394928712904357278e-05 8.192219174803864323e-06
8.183439135573333942e+02 4.410933497319453488e-05 8.485012026152522125e-06
8.227914348266666593e+02 4.423946939631837857e-05 8.717238503036767755e-06
8.272389560960001518e+02 4.428399156589683051e-05 8.861402834819296314e-06
8.316864773653334169e+02 4.420399026338651271e-05 8.926330900304575526e-06
8.361339986346666819e+02 4.398319809647475943e-05 8.933919589294424352e-06
8.405815199040000607e+02 4.362975344076248289e-05 8.903343174165348530e-06
8.450290411733334395e+02 4.317342760657979177e-05 8.852229875732125074e-06
8.494765624426668182e+02 4.265924821277806219e-05 8.812987126223843109e-06
8.539240837120000833e+02 4.213843968325112037e-05 8.846844442379089390e-06
8.583716049813333484e+02 4.165881315363458243e-05 9.033990584358080603e-06
8.628191262506667272e+02 4.125641763267114809e-05 9.432080162999365586e-06
8.672666475200001059e+02 4.095013421789648722e-05 1.003009185544759222e-05
8.717141687893333710e+02 4.073970391542876436e-05 1.073841823217770882e-05
8.761616900586667498e+02 4.060814005228591858e-05 1.142311212647600551e-05
8.806092113280000149e+02 4.052651318892857917e-05 1.195327538353465454e-05
8.850567325973333936e+02 4.046106853365711344e-05 1.223480802330087895e-05
8.895042538666667724e+02 4.037997298426202191e-05 1.222534216554119988e-05
8.939517751360000375e+02 4.025875085830171577e-05 1.193512646022152806e-05
8.983992964053334163e+02 4.008377755669941558e-05 1.142000781017889091e-05
9.028468176746667950e+02 3.985273009273818915e-05 1.076894782543398801e-05
9.072943389440000601e+02 3.957263506141992123e-05 1.008887527624504470e-05
9.117418602133334389e+02 3.925667533197299959e-05 9.484545162819360087e-06
9.161893814826667040e+02 3.892015582839746760e-05 9.034643679164411232e-06
9.206369027520000827e+02 3.857712004892993737e-05 8.768700599502147130e-06
9.250844240213334615e+02 3.823776741360763635e-05 8.660037816033629802e-06
9.295319452906667266e+02 3.790754243829007406e-05 8.641569288139694328e-06
9.339794665600001053e+02 3.758702474810171834e-05 8.634911865286133933e-06
9.384269878293333704e+02 3.727313048890547510e-05 8.575269012309664777e-06
9.428745090986667492e+02 3.696044384511728095e-05 8.425278405634312428e-06
9.473220303680001280e+02 3.664270865497907788e-05 8.180350180671286075e-06
9.517695516373333930e+02 3.631411973273598540e-05 7.869464193256843070e-06
9.562170729066666581e+02 3.597020364739921271e-05 7.551297097537994643e-06
9.606645941760001506e+02 3.560861933424711755e-05 7.300062955879816697e-06
9.651121154453334157e+02 3.522949816705582223e-05 7.176267683486131680e-06
9.695596367146666807e+02 3.483563389806624113e-05 7.191956305214370616e-06
9.740071579840000595e+02 3.443226221659560304e-05 7.296289888812588015e-06
9.784546792533334383e+02 3.402648008200356578e-05 7.396912388510088223e-06
9.829022005226668171e+02 3.362611460715505781e-05 7.401366499447648131e-06
9.873497217920000821e+02 3.323835184587051590e-05 7.252946300793318642e-06
9.917972430613333472e+02 3.286828558223893237e-05 6.951889202163252782e-06
9.962447643306667260e+02 3.251787657622005803e-05 6.563070908063404470e-06
1.000692285600000105e+03 3.218538225245105074e-05 6.208198604044506218e-06
1.005139806869333370e+03 3.186624780882322172e-05 6.031018938235373755e-06
1.009587328138666749e+03 3.155447766129332771e-05 6.126750180451752798e-06
1.014034849408000014e+03 3.124501780268152594e-05 6.479579738555255249e-06
1.018482370677333506e+03 3.093609799982383545e-05 6.976365573354523286e-06
1.022929891946666771e+03 3.063080412475410497e-05 7.476225829498067319e-06
1.027377413216000150e+03 3.033737317756928816e-05 7.864213454164980754e-06
1.031824934485333415e+03 3.006823406057161833e-05 8.070192757924067337e-06
1.036272455754666908e+03 2.983688823325045042e-05 8.069618574412398777e-06
1.040719977024000173e+03 2.965473541126449942e-05 7.878044684208212231e-06
1.045167498293333438e+03 2.952739385393336426e-05 7.542458090662131170e-06
1.049615019562666930e+03 2.945238512197457238e-05 7.129860805095975750e-06
1.054062540832000195e+03 2.941852463423828970e-05 6.712026387697221162e-06
1.058510062101333460e+03 2.940780276593809287e-05 6.348045381816251151e-06
