# Time	0_mean	0_err	1_mean	1_err	2_mean	2_err	3_mean	3_err	4_mean	4_err	5_mean	5_err	6_mean	6_err	7_mean	7_err	8_mean	8_err	9_mean	9_err	10_mean	10_err	11_mean	11_err
 1.8000000e-01	 5.9992298e+03	 5.6625388e+02	 3.9642514e+01	 2.2274724e+00	 7.1542051e+00	 4.1232374e-01	 1.5301909e+00	 8.0820717e-02	 2.0090236e-01	 1.0576542e-02	 1.0577265e-01	 5.8643272e-03	 5.1046324e-02	 2.4177251e-03	 1.6600082e-02	 8.2732804e-04	 5.0263119e-03	 2.2327494e-04	 1.6615945e-03	 7.3036780e-05	 9.8384098e-04	 4.4808959e-05	 1.8218397e-04	 7.6294160e-06
 1.8500000e-01	 5.8897918e+03	 5.5635531e+02	 4.2255694e+01	 2.3791231e+00	 6.4676130e+00	 3.7461390e-01	 1.6549291e+00	 8.7737501e-02	 2.2331727e-01	 1.1668843e-02	 8.1010841e-02	 4.4866510e-03	 3.7138192e-02	 1.7700382e-03	 1.1200940e-02	 5.5483542e-04	 8.1966773e-03	 3.6405216e-04	 2.4134853e-03	 1.0358499e-04	 5.2794844e-04	 2.3621067e-05	 1.0925008e-04	 4.6382589e-06
 1.9000000e-01	 5.7797959e+03	 5.4639230e+02	 4.4928832e+01	 2.5357648e+00	 5.8051815e+00	 3.3760253e-01	 1.7346727e+00	 9.2344686e-02	 2.7012457e-01	 1.4052448e-02	 6.8589727e-02	 3.7532287e-03	 2.7470951e-02	 1.2947640e-03	 1.1456436e-02	 5.5365057e-04	 9.7164842e-03	 4.3573740e-04	 3.8824483e-03	 1.6926460e-04	 1.1089258e-03	 4.9680364e-05	 1.9468699e-04	 8.1402365e-06
 1.9500000e-01	 5.6693976e+03	 5.3637822e+02	 4.7619722e+01	 2.6950504e+00	 5.1969123e+00	 3.0291784e-01	 1.7615061e+00	 9.4190789e-02	 3.3188998e-01	 1.7217623e-02	 7.2199548e-02	 3.9094283e-03	 2.6864412e-02	 1.2416074e-03	 1.7046206e-02	 8.1988598e-04	 7.7734866e-03	 3.5438134e-04	 3.4000875e-03	 1.5154931e-04	 1.1146432e-03	 5.0458206e-05	 9.6977616e-05	 4.1239345e-06
 2.0000000e-01	 5.5587532e+03	 5.2632664e+02	 5.0286299e+01	 2.8546189e+00	 4.6699238e+00	 2.7207792e-01	 1.7330419e+00	 9.3107894e-02	 3.9648630e-01	 2.0539424e-02	 9.0344811e-02	 4.8881377e-03	 3.5437383e-02	 1.6306897e-03	 2.3450362e-02	 1.1361616e-03	 4.7093524e-03	 2.1609955e-04	 1.8491161e-03	 8.2461480e-05	 5.3088189e-04	 2.3845807e-05	 2.0291702e-04	 8.4755444e-06
 2.0500000e-01	 5.4480188e+03	 5.1625113e+02	 5.2887213e+01	 3.0121327e+00	 4.2472219e+00	 2.4643852e-01	 1.6525957e+00	 8.9225473e-02	 4.5143284e-01	 2.3387580e-02	 1.1690197e-01	 6.3412281e-03	 4.8612609e-02	 2.2386832e-03	 2.5572720e-02	 1.2540773e-03	 4.1677911e-03	 1.8643035e-04	 2.0227049e-03	 8.6734176e-05	 9.5670809e-04	 4.2817788e-05	 8.9364665e-05	 3.8018835e-06
 2.1000000e-01	 5.3373486e+03	 5.0616530e+02	 5.5382591e+01	 3.1653018e+00	 3.9466425e+00	 2.2714500e-01	 1.5287792e+00	 8.2952986e-02	 4.8626298e-01	 2.5233463e-02	 1.4315109e-01	 7.7921228e-03	 5.9526066e-02	 2.7520919e-03	 2.1763881e-02	 1.0833367e-03	 6.7314952e-03	 2.9972521e-04	 3.5690997e-03	 1.5492845e-04	 1.2053029e-03	 5.4306351e-05	 2.0627209e-04	 8.6140553e-06
 2.1500000e-01	 5.2268997e+03	 4.9608275e+02	 5.7734572e+01	 3.3119220e+00	 3.7800896e+00	 2.1507691e-01	 1.3745449e+00	 7.4934583e-02	 4.9447580e-01	 2.5743833e-02	 1.6060483e-01	 8.7812936e-03	 6.2568911e-02	 2.9143847e-03	 1.5072159e-02	 7.5921017e-04	 9.2728710e-03	 4.1527224e-04	 3.6707664e-03	 1.6308877e-04	 5.9220985e-04	 2.6742949e-05	 8.6814426e-05	 3.6929791e-06
 2.2000000e-01	 5.1168292e+03	 4.8601688e+02	 5.9907813e+01	 3.4499044e+00	 3.7530544e+00	 2.1077044e-01	 1.2058106e+00	 6.5980797e-02	 4.7470957e-01	 2.4839447e-02	 1.6371593e-01	 9.0014858e-03	 5.6235531e-02	 2.6471548e-03	 1.0777587e-02	 5.3583386e-04	 8.7379607e-03	 3.9700335e-04	 2.1520804e-03	 9.6943077e-05	 8.0169939e-04	 3.5866550e-05	 2.0470726e-04	 8.5504907e-06
 2.2500000e-01	 5.0072917e+03	 4.7598096e+02	 6.1869990e+01	 3.5773001e+00	 3.8644413e+00	 2.1433361e-01	 1.0397864e+00	 5.6985986e-02	 4.3093024e-01	 2.2704265e-02	 1.5160781e-01	 8.3908522e-03	 4.3838097e-02	 2.0864332e-03	 1.2201730e-02	 5.9179960e-04	 5.7872613e-03	 2.6686900e-04	 1.7588455e-03	 7.5825096e-05	 1.2434704e-03	 5.5880505e-05	 8.9324435e-05	 3.7984759e-06
